DLPFC	ACC	PUT	GP-INT	GP-EXT	CAUN-H	CAUN-B	HIPP-CA2	CB	THAL	NACC	HIPP-DG
5.44990194	4.956836987	4.654792608	7.541028437	7.927061995	5.371919796	4.563509028	2.230038151	3.021699364	7.483174556	4.574608676	1.271870495
0.798481908	1.168737743	0.702208508	1.154816972	0.67448798	1.46963282	0.763151896	1.044327325	0.711041126	0.67448798	0.726265903	1.165876946
0.680750995	0.823395799	3.779802281	0.67448798	0.800182393	2.769008693	1.970848062	1.101182107	0.67448798	0.732328906	3.217676899	2.98571834
1.806304515	0.900643431	1.027597182	0.67448798	0.685111416	0.907323988	0.968079704	2.756733895	1.598931927	0.781643939	0.864974469	0.683067058
0.67448798	1.048733876	1.082734828	0.67448798	0.75953829	0.94054517	0.976337118	1.574247792	0.784888408	0.797524083	0.963132273	0.704031196
8.784754861	7.843749045	7.606457221	7.798042201	8.041315827	7.582786458	7.579062514	7.413996114	7.695566726	7.259107465	7.518480933	6.982114313
6.820063541	6.777392405	6.896996455	7.370864257	7.808152016	7.058330361	6.890215342	7.228453468	6.304715884	7.366019294	6.841216	6.548117109
6.243991396	5.620005028	4.620760876	6.19308786	6.163313207	4.997142907	5.460010442	5.596283421	4.656508977	5.371183578	4.506414443	4.608091293
7.843580641	7.539521446	7.290726718	8.163632384	8.661641061	7.432940414	7.270326358	5.797612254	8.219737521	8.335938843	7.339939999	5.793979128
11.33516958	11.24343845	11.05798431	12.14561931	12.28170302	11.10210455	10.8634756	9.778395499	12.06442657	12.10504764	11.30887134	9.668185436
9.470991322	8.930899672	8.87856661	9.380474727	9.567939714	8.891660431	9.194008729	9.563558641	9.010733724	8.861232625	8.768662548	9.088073556
5.307977278	5.419338586	4.788663497	5.282715519	6.022388275	5.38393761	5.424343473	6.080011092	5.599533447	5.14288013	4.866107213	5.923565244
7.999323178	7.221342453	7.082416558	8.245983606	8.428238097	7.449418578	7.336321	6.397266901	7.224202088	7.851621578	6.424156943	6.055505662
11.0342306	9.994720406	10.16520655	9.829781555	9.806317508	9.363611514	9.394258823	10.32643824	10.12691576	10.2582156	9.840228843	10.03456692
7.916718552	7.611325899	7.229240939	8.697341558	8.734062754	7.717875284	7.83070876	6.914203369	6.816754887	7.430050064	6.94815322	7.50101679
10.3862852	10.22792969	10.62384008	11.48516393	11.49459198	10.4252872	10.55157728	9.873015751	9.486627966	10.80222592	10.34294443	10.49150709
